;R	G	B	Name
0.29103	0.47451	0.35708	5
0.37257	0.51373	0.44315	5
0.16863	0.65744	1	3
0.12687	0.58588	0.98039	3
0.063778	0.46799	0.96863	3
0.12014	0.55419	0.98824	3
0.15454	0.54034	0.89412	3
0.05815	0.34962	0.85882	3
0.081353	0.39972	0.95686	3
0.062745	0.50039	1	3
0.085936	0.50716	0.99608	3
0.36969	0.41095	0.42745	3
0.075583	0.47746	0.93725	3
0.10422	0.53687	0.98431	3
0.066667	0.50656	1	3
1	0.65204	0.26667	4
1	0.66143	0.28744	4
1	0.64536	0.27165	4
1	0.60786	0.21961	4
1	0.60586	0.21569	4
0.93333	0.60876	0.28775	4
0.70196	0.47196	0.23817	4
0.9451	0.62884	0.30616	4
0.92941	0.56333	0.23052	4
0.81569	0.50931	0.22312	4
0.5256	0.93725	0.54342	5
0.55453	0.94902	0.60932	5
0.5048	0.95294	0.55295	5
0.49412	0.93333	0.54641	5
0.59918	0.99216	0.65158	5
0.14906	0.72956	0.95686	3
0.1377	0.76398	0.94902	3
0.1186	0.67825	0.88235	3
0.94902	0.94902	0.33495	2
0.99608	0.99608	0.33984	2
0.96471	0.96471	0.35183	2
0.94902	0.94902	0.34239	2
0.98824	0.98824	0.35266	2
0.99608	0.99608	0.34374	2
0.97647	0.97647	0.35952	2
0.31344	0.41176	0.22647	5
0.28684	0.36078	0.22768	5
0.29367	0.4549	0.38669	5
0.26027	0.38039	0.28429	5
0.31421	0.46275	0.38353	5
0.30936	0.43922	0.38356	5
0.21853	0.36863	0.24771	5
0.333	0.40392	0.27389	5
0.24037	0.36471	0.31236	5
0.30517	0.42745	0.36075	5
0.31611	0.43529	0.32326	5
0.23409	0.38039	0.27589	5
0.88627	0.25294	0.11482	1
0.89412	0.24685	0.10791	1
0.90588	0.245	0.10422	1
0.87451	0.23725	0.099944	1
0.87451	0.23429	0.1009	1
0.96078	0.31081	0.17849	1
0.97647	0.34303	0.21061	1
0.99608	0.40835	0.29296	1
0.85686	0.2332	0.099034	1
0.92941	0.30781	0.18201	1
0.84706	0.22453	0.094555	1
1	0.9961	0.22745	2
1	0.98133	0.21961	2
1	1	0.22745	2
1	0.9961	0.22745	2
1	0.99612	0.22745	2
1	1	0.37647	2
1	1	0.42353	2
1	0.98506	0.21569	2
1	0.97624	0.20392	2
1	0.98447	0.21176	2
1	0.99594	0.22353	2
1	0.98852	0.21961	2
1	0.96847	0.21176	2
0.94118	0.71276	0.33587	4
0.98824	0.76263	0.35654	4
0.99216	0.75778	0.36185	4
0.97647	0.73338	0.3492	4
1	0.73251	0.32941	4
0.99608	0.75674	0.34333	4
0.14103	0.53725	0.22734	5
0.13751	0.52941	0.2246	5
0.14088	0.53333	0.22498	5
0.13365	0.51373	0.21906	5
0.14696	0.56078	0.24041	5
0.14855	0.56078	0.24283	5
0.14787	0.56078	0.24204	5
0.20092	0.65098	0.35214	5
0.13764	0.52157	0.2221	5
0.13725	0.52549	0.22395	5
0.14129	0.54902	0.23146	5
0.008031	0.15273	0.67059	3
0.00812	0.15721	0.6902	3
0.0081551	0.16207	0.71765	3
0.008763	0.15952	0.7098	3
0.0089422	0.15595	0.70196	3
0.0082939	0.15972	0.72157	3
0.014454	0.16006	0.6902	3
0.01459	0.15739	0.67843	3
0.010458	0.1591	0.70588	3
0.52157	0.36937	0.25982	4
0.52549	0.36952	0.25399	4
0.52157	0.28143	0.16916	4
0.50588	0.30987	0.20097	4
0.61961	0.33897	0.21223	4
0.54902	0.3139	0.20168	4
0.62745	0.3419	0.19287	4
0.65882	0.41429	0.2685	4
0.61176	0.32739	0.18994	4
0.56078	0.37004	0.26008	4
0.58824	0.55295	0.4089	4
1	1	0.40746	2
1	1	0.36078	2
1	0.99603	0.2902	2
1	0.99616	0.26275	2
1	0.99617	0.26275	2
1	1	0.33194	2
0.98824	0.90168	0.20927	2
0.77647	0.67563	0.17143	2
0.98039	0.89204	0.21097	2
0.9451	0.86425	0.21126	2
1	1	0.45985	2
1	1	0.36863	2
1	1	0.27059	2
1	1	0.41176	2
0.22031	0.6902	0.37542	5
0.22805	0.65882	0.36388	5
0.27678	0.65882	0.39564	5
0.24976	0.61569	0.36132	5
0.26932	0.64706	0.38489	5
0.28405	0.64314	0.38665	5
0.19817	0.6	0.33211	5
0.21419	0.61961	0.3474	5
0.26342	0.67451	0.39122	5
0.29804	0.68627	0.42533	5
0.2438	0.6549	0.37994	5
0.30358	0.74118	0.44944	5
0.31086	0.76078	0.46722	5
0.29576	0.83922	0.48039	5
0.28081	0.65882	0.40424	5
0.96863	0.96863	0.51397	2
0.94902	0.94902	0.60367	2
0.9098	0.9098	0.45312	2
0.43137	0.27021	0.23757	1
0.41176	0.29922	0.25668	1
0.41569	0.28747	0.25373	1
0.41569	0.2837	0.25071	1
0.50588	0.19088	0.14806	1
0.5451	0.19262	0.14358	1
0.55686	0.19882	0.1545	1
0.5451	0.19195	0.14842	1
0.5098	0.16249	0.11653	1
0.5098	0.22547	0.18039	1
0.58431	0.39284	0.35238	1
0.47059	0.1495	0.10776	1
0.50196	0.14273	0.098673	1
0.48627	0.15982	0.11671	1
0.53725	0.27954	0.2348	1
0.3671	0.66453	0.85882	3
0.37518	0.68414	0.89412	3
0.32141	0.59516	0.86275	3
0.3892	0.69813	0.89412	3
0.35869	0.64166	0.93333	3
0.35165	0.6422	0.80784	3
0.43927	0.61176	0.34225	5
0.45432	0.63922	0.357	5
0.64046	0.84314	0.5049	5
0.57645	0.7451	0.45379	5
0.74118	0.28791	0.18167	1
0.78039	0.38882	0.21652	1
0.72549	0.33714	0.206	1
0.74118	0.30079	0.19449	1
0.66667	0.29486	0.1825	1
0.70196	0.34708	0.22879	1
0.6902	0.22655	0.14008	1
0.33563	0.48061	0.66667	3
0.28235	0.38803	0.53333	3
0.3579	0.50137	0.67451	3
0.33936	0.47741	0.6549	3
0.32853	0.48592	0.6902	3
0.27903	0.39996	0.56863	3
0.31841	0.43006	0.57647	3
0.24714	0.32646	0.43137	3
0.21831	0.28942	0.39608	3
0.24272	0.31966	0.42353	3
0.25546	0.33862	0.44706	3
0.31373	0.36527	0.43922	3
0.4	0.49706	0.6	3
0.37844	0.45376	0.52549	3
0.49037	0.62527	0.66275	3
0.7839	0.80392	0.34064	2
0.76413	0.79216	0.29539	2
0.67059	0.6491	0.2442	2
0.57255	0.56193	0.22201	2
0.65098	0.63866	0.23772	2
0.67451	0.65359	0.28211	2
0.67843	0.64936	0.23871	2
0.51373	0.48943	0.20488	2
0.76078	0.76078	0.31345	2
0.81961	0.81961	0.28951	2
0.76863	0.75225	0.27554	2
0.81569	0.81569	0.27829	2
1	1	0.50196	2
0.91373	0.91058	0.53043	2
0.85882	0.81341	0.42741	2
0.91373	0.88666	0.49823	2
0.77647	0.75659	0.43848	2
0.90588	0.87165	0.47958	2
0.91765	0.88243	0.48624	2
0.91373	0.88317	0.49509	2
0.99559	1	0.98823	8
1	1	1	8
0.9312	0.98039	0.91714	8
0.76863	0.76863	0.24928	2
0.9182	0.92941	0.40457	2
1	0.68189	0.22745	4
1	0.66534	0.21912	4
1	0.6761	0.23922	4
1	0.67513	0.24706	4
1	0.71363	0.27843	4
1	0.67339	0.23922	4
0.74118	0.57869	0.1577	2
0.76471	0.59095	0.15294	2
0.72353	0.56923	0.16418	2
0.70588	0.55567	0.15512	2
0.75686	0.59342	0.16078	2
0.70196	0.55195	0.15866	2
0.71765	0.56613	0.1621	2
0.091776	0.17864	0.43922	3
0.072031	0.13704	0.36863	3
0.15502	0.27117	0.57647	3
0.16543	0.28771	0.59608	3
0.062745	0.10838	0.31373	3
0.067974	0.11018	0.30588	3
0.066985	0.11113	0.3098	3
0.076305	0.14175	0.37255	3
0.08	0.12667	0.33333	3
0.1105	0.15081	0.32549	3
0.084465	0.1254	0.31373	3
0.079752	0.12793	0.32941	3
0.084314	0.13267	0.33725	3
0.093941	0.13334	0.32157	3
0.88431	0.96471	0.96471	8
0.87889	0.99608	0.99608	8
0.88377	0.98824	0.98824	8
0.82353	0.98836	1	8
0.88671	0.99608	0.99608	8
0.81318	0.97772	0.99216	8
0.88235	1	1	8
0.88671	0.99608	0.99608	8
0.90754	0.99608	0.99608	8
0.78039	0.97166	1	8
0.92544	0.92941	0.49204	2
0.96863	0.96863	0.60397	2
0.95686	0.95686	0.57787	2
0.95686	0.95686	0.56286	2
1	0.66527	0.25882	4
0.96471	0.65791	0.28218	4
0.98431	0.73093	0.33968	4
