;R	G	B	Name
0.58635	0.37482	0.30431	1
0.58233	0.37059	0.31594	1
0.58233	0.37045	0.31566	1
0.59036	0.38162	0.30133	1
0.57831	0.36967	0.31751	1
0.57831	0.37455	0.32509	1
0.59438	0.38998	0.29913	1
0.48936	0.44493	0.28941	1
0.48936	0.44493	0.28941	1
0.28758	0.50213	0.28758	1
0.28645	0.51489	0.51489	1
0.48936	0.44493	0.28941	1
0.39232	0.49787	0.28677	1
0.28667	0.51064	0.51064	1
0.28631	0.51064	0.51064	1
0.49362	0.46216	0.28916	1
0.4276	0.49787	0.28706	1
0.33877	0.58805	0.61638	1
0.34729	0.60776	0.60776	1
0.34571	0.60763	0.61207	1
0.3466	0.60345	0.60345	1
0.34756	0.60345	0.60345	1
0.34584	0.60345	0.60345	1
0.34473	0.60555	0.61207	1
0.34591	0.60776	0.60776	1
0.34291	0.60279	0.61207	1
0.34542	0.60776	0.60776	1
0.30151	0.53814	0.53814	1
0.29931	0.5339	0.5339	1
0.29288	0.50399	0.54237	1
0.30302	0.5339	0.52853	1
0.29982	0.53814	0.53814	1
0.29279	0.50315	0.54237	1
0.29358	0.50551	0.54237	1
0.30345	0.52966	0.41656	1
0.30345	0.52966	0.41656	1
0.30046	0.53814	0.53814	1
0.63786	0.43581	0.35498	1
0.65021	0.57507	0.33087	1
0.64609	0.56688	0.32926	1
0.64198	0.52134	0.34038	1
0.64609	0.54677	0.33393	1
0.63786	0.44714	0.34713	1
0.64609	0.5485	0.33381	1
0.63786	0.45193	0.34684	1
0.65021	0.57507	0.33087	1
0.64198	0.50795	0.34239	1
0.65984	0.32287	0.24616	1
0.65984	0.3226	0.24573	1
0.65984	0.32304	0.24649	1
0.64754	0.34167	0.2737	1
0.65164	0.33356	0.26247	1
0.63934	0.35778	0.29684	1
0.63525	0.36155	0.30273	1
0.64754	0.34262	0.27486	1
0.64344	0.3445	0.27851	1
0.66393	0.32119	0.2421	1
0.92496	1	0.47475	2
0.94685	1	0.48485	2
0.94146	1	0.48485	2
0.92913	1	0.47475	2
0.93803	1	0.48485	2
0.94146	1	0.48485	2
0.9537	1	0.49068	2
0.95585	1	0.49231	2
0.934	1	0.4798	2
0.92837	1	0.47475	2
0.92289	1	0.56	2
0.92289	0.99558	0.55946	2
0.92622	0.98673	0.56322	2
0.92689	0.99558	0.56387	2
0.92689	0.99558	0.56387	2
0.92501	0.99558	0.56042	2
0.92762	0.99558	0.56387	2
0.92297	0.98673	0.56322	2
0.9237	0.97788	0.5625	2
0.92249	0.97788	0.5625	2
0.090997	0.39639	0.95279	3
0.091934	0.39315	0.93133	3
0.091179	0.39809	0.96567	3
0.093629	0.39776	0.9485	3
0.093063	0.39813	0.95279	3
0.09151	0.39165	0.92704	3
0.093205	0.3967	0.9485	3
0.090773	0.39732	0.96137	3
0.093063	0.39813	0.95279	3
0.092781	0.3948	0.93991	3
0.090469	0.39498	0.95259	3
0.092193	0.39511	0.94828	3
0.095422	0.39132	0.92241	3
0.096314	0.39472	0.93103	3
0.095387	0.39032	0.9181	3
0.090331	0.39466	0.95259	3
0.096189	0.38959	0.91379	3
0.093155	0.39465	0.93966	3
0.096456	0.38995	0.91379	3
0.096189	0.38959	0.91379	3
0.86432	0.43777	0.74799	6
0.47803	0.50311	0.82915	6
0.86935	0.43467	0.73104	6
0.6716	0.46809	0.8392	6
0.48241	0.55533	0.81407	6
0.86432	0.43792	0.74952	6
0.86432	0.43792	0.75062	6
0.84925	0.45943	0.84925	6
0.78504	0.45951	0.84422	6
0.47976	0.54501	0.8191	6
0.80455	0.50101	0.68718	6
0.80909	0.49649	0.68264	6
